time,attraction_index,attraction_name,wait_time,css_class,raw_value,date,scraped_at
08:45,24,ワールプール,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,25,アナとエルサ,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,26,ラプンツェル,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,27,ピーターパン,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,28,ティンカーベル,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,29,マジックランプシアター,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,30,カルーセル,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,31,シンドバッド,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,32,ジャスミン,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,33,プラザグリーティング,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,34,ヴィレッジグリーティング,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,35,サルードス・アミーゴス,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,36,ドナルドグリーティング,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,37,ミッキーグリーティング,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,38,ミニーグリーティング,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,39,マーメイドラグーングリーティング,0,B8,-,2025-05-19,2025-07-06 13:26:35
08:45,40,アラビアンコーストグリーティング,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,1,ソアリン,100,B4,100,2025-05-19,2025-07-06 13:26:35
09:15,2,船メディテレーニアンハーバー発,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,3,フォートレスエクスプロレーション,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,4,ゴンドラ,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,5,タワーオブテラー,15,B1,15,2025-05-19,2025-07-06 13:26:35
09:15,6,トイストーリーマニア,50,B3,50,2025-05-19,2025-07-06 13:26:35
09:15,7,タートル・トーク,15,B1,15,2025-05-19,2025-07-06 13:26:35
09:15,8,エレクトリックレールウェイアメリカンウォーターフロント発,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,9,船アメリカンウォーターフロント発,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,10,ヴィークル,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,11,センターオブジアース,15,B1,15,2025-05-19,2025-07-06 13:26:35
09:15,12,海底二万マイル,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,13,ニモandフレンズシーライダー,15,B1,15,2025-05-19,2025-07-06 13:26:35
09:15,14,アクアトピア,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,15,鉄道ポートディスカバリー発,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,16,インディージョーンズクリスタルスカルの謎,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,17,レイジングスピリッツ,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,18,船ロストリバーデルタ発,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,19,マーメイドラグーン,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,20,ジャンピン,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,21,スカットルのスクーター,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,22,フランダー,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,23,バルーンレース,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,24,ワールプール,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,25,アナとエルサ,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,26,ラプンツェル,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,27,ピーターパン,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,28,ティンカーベル,60,B3,60,2025-05-19,2025-07-06 13:26:35
09:15,29,マジックランプシアター,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,30,カルーセル,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,31,シンドバッド,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,32,ジャスミン,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:15,33,プラザグリーティング,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,34,ヴィレッジグリーティング,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,35,サルードス・アミーゴス,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,36,ドナルドグリーティング,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,37,ミッキーグリーティング,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,38,ミニーグリーティング,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,39,マーメイドラグーングリーティング,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:15,40,アラビアンコーストグリーティング,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:45,1,ソアリン,140,B5,140,2025-05-19,2025-07-06 13:26:35
09:45,2,船メディテレーニアンハーバー発,15,B1,15,2025-05-19,2025-07-06 13:26:35
09:45,3,フォートレスエクスプロレーション,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:45,4,ゴンドラ,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:45,5,タワーオブテラー,80,B4,80,2025-05-19,2025-07-06 13:26:35
09:45,6,トイストーリーマニア,120,B5,120,2025-05-19,2025-07-06 13:26:35
09:45,7,タートル・トーク,15,B1,15,2025-05-19,2025-07-06 13:26:35
09:45,8,エレクトリックレールウェイアメリカンウォーターフロント発,10,B1,10,2025-05-19,2025-07-06 13:26:35
09:45,9,船アメリカンウォーターフロント発,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:45,10,ヴィークル,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:45,11,センターオブジアース,70,B4,70,2025-05-19,2025-07-06 13:26:35
09:45,12,海底二万マイル,10,B1,10,2025-05-19,2025-07-06 13:26:35
09:45,13,ニモandフレンズシーライダー,15,B1,15,2025-05-19,2025-07-06 13:26:35
09:45,14,アクアトピア,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:45,15,鉄道ポートディスカバリー発,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:45,16,インディージョーンズクリスタルスカルの謎,40,B3,40,2025-05-19,2025-07-06 13:26:35
09:45,17,レイジングスピリッツ,30,B2,30,2025-05-19,2025-07-06 13:26:35
09:45,18,船ロストリバーデルタ発,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:45,19,マーメイドラグーン,0,B8,-,2025-05-19,2025-07-06 13:26:35
09:45,20,ジャンピン,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:45,21,スカットルのスクーター,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:45,22,フランダー,5,B0,5,2025-05-19,2025-07-06 13:26:35
09:45,23,バルーンレース,5,B0,5,2025-05-19,2025-07-06 13:26:35
